Start,Finish,Steps (count)
9/18/15 0:00,9/19/15 0:00,8654
9/19/15 0:00,9/20/15 0:00,9943
9/20/15 0:00,9/21/15 0:00,6956
9/21/15 0:00,9/22/15 0:00,9296
9/22/15 0:00,9/23/15 0:00,8286
9/23/15 0:00,9/24/15 0:00,13536
9/24/15 0:00,9/25/15 0:00,7074
9/25/15 0:00,9/26/15 0:00,9887
9/26/15 0:00,9/27/15 0:00,1099
9/27/15 0:00,9/28/15 0:00,3999
9/28/15 0:00,9/29/15 0:00,7436
9/29/15 0:00,9/30/15 0:00,8386
9/30/15 0:00,10/1/15 0:00,4584
10/1/15 0:00,10/2/15 0:00,5449
10/2/15 0:00,10/3/15 0:00,6115
10/3/15 0:00,10/4/15 0:00,7439
10/4/15 0:00,10/5/15 0:00,3167
10/5/15 0:00,10/6/15 0:00,5101
10/6/15 0:00,10/7/15 0:00,9214
10/7/15 0:00,10/8/15 0:00,7652
10/8/15 0:00,10/9/15 0:00,9620
10/9/15 0:00,10/10/15 0:00,7828
10/10/15 0:00,10/11/15 0:00,7218
10/11/15 0:00,10/12/15 0:00,1673
10/12/15 0:00,10/13/15 0:00,15010
10/13/15 0:00,10/14/15 0:00,7001
10/14/15 0:00,10/15/15 0:00,5267
10/15/15 0:00,10/16/15 0:00,11609
10/16/15 0:00,10/17/15 0:00,12792
10/17/15 0:00,10/18/15 0:00,2623
10/18/15 0:00,10/19/15 0:00,12182
10/19/15 0:00,10/20/15 0:00,9882
10/20/15 0:00,10/21/15 0:00,9110
10/21/15 0:00,10/22/15 0:00,6343
10/22/15 0:00,10/23/15 0:00,2911
10/23/15 0:00,10/24/15 0:00,1043
10/24/15 0:00,10/25/15 0:00,336
10/25/15 0:00,10/26/15 0:00,8874
10/26/15 0:00,10/27/15 0:00,4256.440781
10/27/15 0:00,10/28/15 0:00,14434.55922
10/28/15 0:00,10/29/15 0:00,5343
10/29/15 0:00,10/30/15 0:00,13752
10/30/15 0:00,10/31/15 0:00,13177
10/31/15 0:00,11/1/15 0:00,9460
11/1/15 0:00,11/2/15 0:00,8573
11/2/15 0:00,11/3/15 0:00,14508
11/3/15 0:00,11/4/15 0:00,11080
11/4/15 0:00,11/5/15 0:00,12184
11/5/15 0:00,11/6/15 0:00,10371
11/6/15 0:00,11/7/15 0:00,7274
11/7/15 0:00,11/8/15 0:00,9678
11/8/15 0:00,11/9/15 0:00,7175
11/9/15 0:00,11/10/15 0:00,10127
11/10/15 0:00,11/11/15 0:00,6429
11/11/15 0:00,11/12/15 0:00,6523
11/12/15 0:00,11/13/15 0:00,10406
11/13/15 0:00,11/14/15 0:00,6613
11/14/15 0:00,11/15/15 0:00,8108
11/15/15 0:00,11/16/15 0:00,8823
11/16/15 0:00,11/17/15 0:00,6661
11/17/15 0:00,11/18/15 0:00,14063
11/18/15 0:00,11/19/15 0:00,1977
11/19/15 0:00,11/20/15 0:00,5267
11/20/15 0:00,11/21/15 0:00,8760
11/21/15 0:00,11/22/15 0:00,18670
11/22/15 0:00,11/23/15 0:00,9763.699541
11/23/15 0:00,11/24/15 0:00,6557.300459
11/24/15 0:00,11/25/15 0:00,11861
11/25/15 0:00,11/26/15 0:00,17430
11/26/15 0:00,11/27/15 0:00,5480
11/27/15 0:00,11/28/15 0:00,12502
11/28/15 0:00,11/29/15 0:00,7907
11/29/15 0:00,11/30/15 0:00,9316
11/30/15 0:00,12/1/15 0:00,9991
12/1/15 0:00,12/2/15 0:00,6336
12/2/15 0:00,12/3/15 0:00,15640
12/3/15 0:00,12/4/15 0:00,8574
12/4/15 0:00,12/5/15 0:00,12864
12/5/15 0:00,12/6/15 0:00,10734
12/6/15 0:00,12/7/15 0:00,10555
12/7/15 0:00,12/8/15 0:00,4448
12/8/15 0:00,12/9/15 0:00,12462
12/9/15 0:00,12/10/15 0:00,7235
12/10/15 0:00,12/11/15 0:00,8958
12/11/15 0:00,12/12/15 0:00,9244
12/12/15 0:00,12/13/15 0:00,5933
12/13/15 0:00,12/14/15 0:00,2768
12/14/15 0:00,12/15/15 0:00,10190
12/15/15 0:00,12/16/15 0:00,17315
12/16/15 0:00,12/17/15 0:00,9066
12/17/15 0:00,12/18/15 0:00,8890
12/18/15 0:00,12/19/15 0:00,16062
12/19/15 0:00,12/20/15 0:00,5015
12/20/15 0:00,12/21/15 0:00,9110
12/21/15 0:00,12/22/15 0:00,11620
12/22/15 0:00,12/23/15 0:00,15402.06327
12/23/15 0:00,12/24/15 0:00,7490.936731
12/24/15 0:00,12/25/15 0:00,6836
12/25/15 0:00,12/26/15 0:00,14104
12/26/15 0:00,12/27/15 0:00,7022
12/27/15 0:00,12/28/15 0:00,14151
12/28/15 0:00,12/29/15 0:00,8874
12/29/15 0:00,12/30/15 0:00,11486
12/30/15 0:00,12/31/15 0:00,13586
12/31/15 0:00,1/1/16 0:00,9608
1/1/16 0:00,1/2/16 0:00,20199
1/2/16 0:00,1/3/16 0:00,6543
1/3/16 0:00,1/4/16 0:00,3087
1/4/16 0:00,1/5/16 0:00,8430
1/5/16 0:00,1/6/16 0:00,11537
1/6/16 0:00,1/7/16 0:00,11453
1/7/16 0:00,1/8/16 0:00,12253
1/8/16 0:00,1/9/16 0:00,9712
1/9/16 0:00,1/10/16 0:00,3622
1/10/16 0:00,1/11/16 0:00,9673
1/11/16 0:00,1/12/16 0:00,11932
1/12/16 0:00,1/13/16 0:00,11862
1/13/16 0:00,1/14/16 0:00,8573
1/14/16 0:00,1/15/16 0:00,10361.23637
1/15/16 0:00,1/16/16 0:00,16459.76363
1/16/16 0:00,1/17/16 0:00,6447
1/17/16 0:00,1/18/16 0:00,4967
1/18/16 0:00,1/19/16 0:00,1144
1/19/16 0:00,1/20/16 0:00,4633
1/20/16 0:00,1/21/16 0:00,11923
1/21/16 0:00,1/22/16 0:00,10318
1/22/16 0:00,1/23/16 0:00,11815
1/23/16 0:00,1/24/16 0:00,2591
1/24/16 0:00,1/25/16 0:00,5738
1/25/16 0:00,1/26/16 0:00,3789
1/26/16 0:00,1/27/16 0:00,8016
1/27/16 0:00,1/28/16 0:00,7534
1/28/16 0:00,1/29/16 0:00,3811
1/29/16 0:00,1/30/16 0:00,9606
1/30/16 0:00,1/31/16 0:00,3224
1/31/16 0:00,2/1/16 0:00,1327
2/1/16 0:00,2/2/16 0:00,4999
2/2/16 0:00,2/3/16 0:00,5096
2/3/16 0:00,2/4/16 0:00,4796
2/4/16 0:00,2/5/16 0:00,4351
2/5/16 0:00,2/6/16 0:00,6724
2/6/16 0:00,2/7/16 0:00,3676
2/7/16 0:00,2/8/16 0:00,2592
2/8/16 0:00,2/9/16 0:00,5149
2/9/16 0:00,2/10/16 0:00,7112
2/10/16 0:00,2/11/16 0:00,6536
2/11/16 0:00,2/12/16 0:00,8338
2/12/16 0:00,2/13/16 0:00,1911
2/13/16 0:00,2/14/16 0:00,10005
2/14/16 0:00,2/15/16 0:00,5072
2/15/16 0:00,2/16/16 0:00,4160
2/16/16 0:00,2/17/16 0:00,5023
2/17/16 0:00,2/18/16 0:00,5339
2/18/16 0:00,2/19/16 0:00,11878
2/19/16 0:00,2/20/16 0:00,6999
2/20/16 0:00,2/21/16 0:00,10403
2/21/16 0:00,2/22/16 0:00,9555
2/22/16 0:00,2/23/16 0:00,6523
2/23/16 0:00,2/24/16 0:00,5394
2/24/16 0:00,2/25/16 0:00,4048
2/25/16 0:00,2/26/16 0:00,1832
2/26/16 0:00,2/27/16 0:00,14568
2/27/16 0:00,2/28/16 0:00,19791
2/28/16 0:00,2/29/16 0:00,3646
2/29/16 0:00,3/1/16 0:00,7743
3/1/16 0:00,3/2/16 0:00,8600
3/2/16 0:00,3/3/16 0:00,7048
3/3/16 0:00,3/4/16 0:00,5408
3/4/16 0:00,3/5/16 0:00,11577
3/5/16 0:00,3/6/16 0:00,6969
3/6/16 0:00,3/7/16 0:00,7183
3/7/16 0:00,3/8/16 0:00,11017
3/8/16 0:00,3/9/16 0:00,6361
3/9/16 0:00,3/10/16 0:00,9213
3/10/16 0:00,3/11/16 0:00,5535
3/11/16 0:00,3/12/16 0:00,6611
3/12/16 0:00,3/13/16 0:00,981
3/13/16 0:00,3/14/16 0:00,0
3/14/16 0:00,3/15/16 0:00,2521
3/15/16 0:00,3/16/16 0:00,4680
3/16/16 0:00,3/17/16 0:00,6518
3/17/16 0:00,3/18/16 0:00,4130
3/18/16 0:00,3/19/16 0:00,10910
3/19/16 0:00,3/20/16 0:00,6275
3/20/16 0:00,3/21/16 0:00,9397
3/21/16 0:00,3/22/16 0:00,10182
3/22/16 0:00,3/23/16 0:00,13296
3/23/16 0:00,3/24/16 0:00,8214
3/24/16 0:00,3/25/16 0:00,13914
3/25/16 0:00,3/26/16 0:00,16369
3/26/16 0:00,3/27/16 0:00,11612
3/27/16 0:00,3/28/16 0:00,11735
3/28/16 0:00,3/29/16 0:00,10606
3/29/16 0:00,3/30/16 0:00,5032
3/30/16 0:00,3/31/16 0:00,6931
3/31/16 0:00,4/1/16 0:00,6055
4/1/16 0:00,4/2/16 0:00,12229
4/2/16 0:00,4/3/16 0:00,7049
4/3/16 0:00,4/4/16 0:00,1812
4/4/16 0:00,4/5/16 0:00,4355
4/5/16 0:00,4/6/16 0:00,4789
4/6/16 0:00,4/7/16 0:00,16094
4/7/16 0:00,4/8/16 0:00,4719.85746
4/8/16 0:00,4/9/16 0:00,9604.98589
4/9/16 0:00,4/10/16 0:00,7505.156649
4/10/16 0:00,4/11/16 0:00,6349
4/11/16 0:00,4/12/16 0:00,7610
4/12/16 0:00,4/13/16 0:00,5558
4/13/16 0:00,4/14/16 0:00,11154
4/14/16 0:00,4/15/16 0:00,6364
4/15/16 0:00,4/16/16 0:00,7719
4/16/16 0:00,4/17/16 0:00,12426
